Qty;Parts;Value;Device;P/N
1;J3;;1X3_MALE_HEADER_0.1;
2;J1, J2;;1X6_MALE_HEADER_0.1;
1;D2;;LED;QBLP595-IG 
2;R1;4.65k;RESISTOR0402;RC0402FR-074K64L 
1;J4;;SMA_EMPCB.SMAFSTJ.B.HT;EMPCB.SMAFSTJ.B.HT
4;C3, C7, C8, C11;0.1u;0402_CAP;CC0402KRX5R7BB104? 
3;R1, R6, R7;100k;RESISTOR0402;?RC0402JR-07100KL?
2;C9, C12;100p;0402_CAP;CC0402JRNPO9BN101
4;C4, C5, C6, C10;1u;0402_CAP;CC0402KRX5R7BB105
1;R8;100;RESISTOR0402;?RC0402JR-07100RL?
2;R3, R4;49.9;0402_RESISTOR;?RC0402JR-07100KL?
2;C1, C2;7pF;0402_CAP;CC0402DRNPO9BN7R0? 
1;U1;AD9913;AD9913;AD9913
1;T1;ADTT1-6+;ADTT1-6+;ADTT1-6+
2;FB1, FB2;BLM18KG102SN1D;0603_FB;BLM18KG102SN1D
1;D1;LSM115JE3;SCHOTTKEY;LSM115JE3
1;U2;S-1711A1818-I6T1U;S-1711;S-1711A1818-I6T1U
1;Y1;TSX-3225 25.0000MF10P-C0;TSX-3225;TSX-3225 25.0000MF10P-C0
1;N/A;;Jumper for J3;?QPC02SXGN-RC?
